Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,latimes,https://www.latimes.com/entertainment/music/la-et-ms-grammys-bradley-cooper-shallow-20190210-story.html,"Feb 10, 2019  5:20 PM ",1,"Bradley Cooper in a scene from ""A Star Is Born."" (Clay Enos / Warner Bros.)",(Clay Enos / Warner Bros.)
2,latimes,https://www.latimes.com/entertainment/music/la-et-ms-breakup-songs-ruined-by-ex-20190206-story.html,"Feb 06, 2019  12:15 PM ",1,Breakups are tough. Music can help. (Cultura RM/Gu / Getty Images),(Cultura RM/Gu / Getty Images)
3,latimes,https://www.latimes.com/local/lanow/la-me-storms-snow-southern-california-20190210-story.html,"Feb 10, 2019  7:55 PM ",1,Highway 395 near Mammoth (Allen J. Schaben / Los Angeles Times),(Allen J. Schaben / Los Angeles Times)
4,latimes,https://www.latimes.com/opinion/op-ed/la-oe-orent-measles-vaccinations-20190210-story.html,"Feb 10, 2019  3:05 AM ",1,"A dose of measles, mumps and rubella vaccine. (Eric Risberg / Associated Press)",(Eric Risberg / Associated Press)
5,latimes,https://www.latimes.com/local/la-me-hatzolah-20190210-story.html,"Feb 10, 2019  9:45 AM ",2,"Aharon Sabbagh, an emergency medical technician with Hatzolah, a Jewish volunteer EMT service that primarily services the Jewish community of Pico-Robertson, waits for a medical call last month in the Beverly Hills area. (Allen J. Schaben / Los Angeles Times)",(Allen J. Schaben / Los Angeles Times)
5,latimes,,,2,"Rabbi Shmuel Manne, center, joins Hatzolah supporters at an ambulance license hearing in Santa Fe Springs. Manne is chairman of the Jewish volunteer emergency medical service. (Allen J. Schaben / Los Angeles Times)",(Allen J. Schaben / Los Angeles Times)
6,latimes,https://www.latimes.com/politics/la-na-pol-trump-impeachment-investigations-20190210-story.html,"Feb 10, 2019  3:00 AM ",1,"Clockwise from top left: Reps. Maxine Waters, Eliot Engel, Jerrold Nadler and Adam B. Schiff, and House Speaker Nancy Pelosi. (AFP, AP, AP, AP, EPA)","(AFP, AP, AP, AP, EPA)"
7,latimes,https://www.latimes.com/entertainment/arts/miranda/la-et-cam-yalitza-aparicio-roma-oscars-20190128-story.html,"Feb 07, 2019  4:00 AM ",8,"Oscar-nominated actress Yalitza Aparicio, the breakout star of the Alfonso Cuaron film ""Roma."" (Marcus Yam / Los Angeles Times)",(Marcus Yam / Los Angeles Times)
7,latimes,,,8,"Yalitza Aparicio as Cleo, with Marco Graf who plays Pepe in ""Roma."" (Carlos Somonte / Netflix)",(Carlos Somonte / Netflix)
7,latimes,,,8,"Yalitza Aparacio, the breakout star and Oscar-nominated protagonist of ""Roma."" (Marcus Yam / Los Angeles Times)",(Marcus Yam / Los Angeles Times)
7,latimes,,,8,"Yalitza Aparicio, fifth from left, with her family at the Mexico City premiere of ""Roma."" (Victor Chavez / Getty Images for Netflix)",(Victor Chavez / Getty Images for Netflix)
7,latimes,,,8,Yalitza Aparicio speaks to the press in Tijuana last month after her Oscar nomination was announced. (Guillermo Arias / AFP/Getty Images),(Guillermo Arias / AFP/Getty Images)
7,latimes,,,8,"Yalitza Aparicio, right, on the set of 'Roma' with director Alfonso Cuarón. (Carlos Somonte / Netflix)",(Carlos Somonte / Netflix)
7,latimes,,,8,"Yalitza Aparicio has been on a whirlwind of red carpets for ""Roma."" She marked her 25th birthday at a Hollywood premiere last year, as Alfonso Cuarón watches. (Rachel Murray / Getty Images for Netflix)",(Rachel Murray / Getty Images for Netflix)
7,latimes,,,8,"Yalitza Aparicio, photographed in West Hollywood in early February. (Marcus Yam / Los Angeles Times)",(Marcus Yam / Los Angeles Times)
8,latimes,https://www.latimes.com/entertainment/la-et-fiji-water-girl-counter-lawsuit-20190208-story.html,"Feb 08, 2019  1:20 PM ",1,"""Fiji Water Girl"" Kelleth Cuthbert photo-bombs Jamie Lee Curtis at the 76th Golden Globe Awards last month. (Matt Sayles / Invision for Fiji Water/Associated Press)",(Matt Sayles / Invision for Fiji Water/Associated Press)
