Index,Source,P/C,,,,Count
1,No Image,                              ,,,,402
2,(R-N.C.) in 2017. (Andrew Harnik/AP),Professional - ap,,,,1
3,(Lisa Nipp/AP),Professional - ap,,,,1
4,(Win McNamee/Getty Images),Professional - getty,,,,2
5,(Mark Humphrey/AP),Professional - ap,,,,1
6,No Credit,                              ,,,,41
7,(J. Scott Applewhite/AP),Professional - ap,,,,3
8,(Tom McCorkle for The Washington Post; food styling by Lisa Cherkasky for The Washington Post),Professional - washington post,,,,8
9,(Timothy A. Clary/AFP/Getty Images),Professional - getty,,,,1
10,(Nick Wass/Associated Press),Professional - press,,,,1
11,"(D-Colo.) speaks about health care at a panel discussion at The Washington Post. In an interview on NBC’s “Meet The Press” on Sunday, Bennet hinted that he may run for president. (Keith Lane/For The Washington Post)",Professional - washington post,,,,1
12,(Joel C. Ryan/Invision/AP) (Joel C Ryan/Joel C Ryan/Invision/AP),Professional - ap,,,,1
13,"(D) watches officers carry the casket of Lucas B. Dowell, a fallen state trooper. Northam’s attendance at the funeral was one of his first public appearances since the governor’s blackface scandal. (Steve Helber/AP)",Professional - ap,,,,1
14,(Matt McClain/The Washington Post),Professional - washington post,,,,12
15,(Matt McClain/The Washington Post) ,Professional - washington post,,,,3
16,(Wyo.) at a news conference on Capitol Hill on Jan. 15. (Alex Brandon/AP),Professional - ap,,,,1
17,(Francois Xavier Marit/AFP/Getty Images),Professional - getty,,,,1
18,(Javier Soriano/AFP/Getty Images),Professional - getty,,,,1
19,(Julia Rendleman for The Washington Post),Professional - washington post,,,,5
20,(Julia Rendleman for The Washington Post) ,Professional - washington post,,,,4
21,"(D-Calif.), delivers his State of the Union address Tuesday on Capitol Hill. (Toni L. Sandys/The Washington Post)",Professional - washington post,,,,1
22,(Elaine Thompson/AP),Professional - ap,,,,9
23,(Reed Saxon/AP),Professional - ap,,,,1
24,(Dave McIntyre/The Washington Post),Professional - washington post,,,,2
25,(Photo by Dan Kitwood/Getty Images),Professional - getty,,,,1
26,(Ron Tom/ABC),Professional - abc,,,,1
27,(Toni L. Sandys/The Washington Post),Professional - washington post,,,,8
28,(Jonas Gustavsson/MCV Photo for The Washington Post),Professional - washington post,,,,16
29,(Andreas Solaro/AFP/Getty Images),Professional - getty,,,,1
30,(iStock) (golero/Getty Images/iStock),Professional - getty,,,,1
31,(Mary Schwalm/AP),Professional - ap,,,,1
32,(Zach Meyer for The Washington Post),Professional - washington post,,,,1
33,(Jonathan Newton/The Washington Post),Professional - washington post,,,,12
34,(Carl Timpone/Ralph Lauren via AP),Professional - ap,,,,1
