Index,Source,P/C,,,,Count
1,No Image,                              ,,,,32
2,Francisco Kjolseth,Professional - salt lake tribune,,,,10
3,"(Photo courtesy of The Church of Jesus Christ of Latter-day Saints) The world leader of The Church of Jesus Christ of Latter-day Saints, President Russell M. Nelson, encourages members in the Phoenix area to increase their faith practices in the home. He and his first counselor, President Dallin H. Oaks, spoke to Latter-day Saints in State Farm Stadium Sunday, Feb. 10, 2019.",Professional - church,,,,1
4,"(Photo courtesy of The Church of Jesus Christ of Latter-day Saints) After his meeting in Chico, Calif., Jan. 13, 2019, President Russell M. Nelson met with Rob and Gretchen Harrison and their three children in front of what used to be their home.",Professional - church,,,,1
5,(Carolyn Kaster,Professional - ap,,,,2
6,No Credit,                              ,,,,133
7,(Jessica Hill,Professional - ap,,,,1
8,(Keith Johnson,                              ,,,,1
9,(Rick Egan,Professional - salt lake tribune,,,,55
10,"(Jean-Christophe Bott/Keystone via AP) Lindsey Vonn of the United States celebrates with the US Ski members after the flowers ceremony of the women downhill race at the 2019 FIS Alpine Skiing World Championships in Are, Sweden Sunday, Feb. 10, 2019.",Professional - ap,,,,1
11,(Jean-Christophe Bott/Keystone via AP,Professional - AP,,,,2
12,(AP Photo/Marco Trovati,Professional - ap,,,,2
13,(AP Photo/Gabriele Facciotti,Professional - ap,,,,2
14,(AP Photo/Shinichiro Tanaka,Professional - ap,,,,1
15,(AP Photo/Giovanni Auletta,Professional - ap,,,,2
16,Al Hartmann,                              ,,,,6
17,(Michael Quinn/National Park Service via AP),Professional - ap,,,,1
18,"(AP Photo/Felicia Fonseca, File)",Professional - file,,,,1
19,(Francisco Kjolseth | The Salt Lake Tribune,Professional - salt lake tribune,,,,78
20,(Photo courtesy of dav.d daniels | dav.d photography,                              ,,,,4
21,(Photo courtesy of dav.d daniels |dav.d photography,                              ,,,,1
22,(Rick Egan | The Salt Lake Tribune,Professional - salt lake tribune,,,,95
23,(Leah Hogsten,Professional - ap,,,,29
24,(Courtesy of the Organization for a New Utah Flag) A proposed redesign of the Utah State Flag.,Professional - utah,,,,1
25,(Chris Detrick,                              ,,,,11
26,Photo courtesy Ben Platt/AAF,                              ,,,,2
27,(Trent Nelson,Professional - AP,,,,52
28,(hooptactics.net),                              ,,,,1
29,(Francisco Kjolseth,Professional - salt lake tribune,,,,89
30,"(Photo courtesy of Ashley Breitenstein) Ashley Breitenstein dances with her father, Mark Sargeant, to ""Butterfly Kisses"" at her wedding in this photo by Braadyn Penrod. After Sargeant was diagnosed with ALS, Ashley hoped to be able to dance with him at her wedding last March. Fortunately, his arms and legs were still strong enough to do so. During this tender moment, he whispered in his daughter's ear, “I hope I did enough as your father. I could have done better.”",                              ,,,,1
31,(Christopher Cherrington,                              ,,,,24
32,(File photo by Willy Sanjuan | Invision,Professional - file,,,,1
33,(Steve Griffin,Professional - ap,,,,6
34,(Eli Lucero/The Herald Journal via AP),Professional - ap,,,,4
35,(National Archives via AP),Professional - ap,,,,1
36,George F. Will,                              ,,,,4
37,(Alex Vejar,                              ,,,,2
38,(AP Photo/Marcio Jose Sanchez),Professional - ap,,,,3
39,(AP Photo/Steve Helber),Professional - ap,,,,3
40,(Al Hartmann,                              ,,,,8
41,(Trent Nelson | The Salt Lake Tribune),Professional - salt lake tribune,,,,29
42,(AP Photo/Alex Goodlett),Professional - ap,,,,3
43,"(AP Photo/Matthew Putney, File) In this Saturday, Jan. 5, 2019, file photo, Sen. Elizabeth Warren, D-Mass., speaks during an organizing event at Curate event space in Des Moines, Iowa.",Professional - file,,,,1
44,"(AP Photo/Mark J. Terrill, File)",Professional - file,,,,1
45,"(AP Photo/Steve Helber) Virginia Lt. Gov. Justin Fairfax, gavels the session to order at the start of the Senate session at the Capitol in Richmond, Va., Friday, Feb. 8, 2019.",Professional - ap,,,,1
46,"(AP Photo/Morgan Lee) In this Monday, Feb. 4, 2019, photo, high school student Sophia Lussiez, 17, of Santa Fe, N.M., second from right, testifies in support of proposals for new gun safety regulations in the state, in Santa Fe, N.M. The New Mexico Legislature is considering a bill that would temporarily restrict firearms access for people considered to be at risk to themselves or others. Various states are considering similar regulations since last year's mass shooting at a Florida high school.",Professional - ap,,,,1
47,(Dee Sessions,                              ,,,,1
48,(Scott Sommerdorf,Professional - file,,,,11
49,(AP Photo/Rick Bowmer),Professional - ap,,,,18
50,"(Joel Keeler via AP) This Tuesday, Feb. 5, 2019 photo from video by Joel Keeler shows vehicles buried in the parking lot of the snowed-in Montecito Sequoia Lodge in Kings Canyon National Park in California's Sierra Nevada. More than 120 visitors and staff who became snowbound in the Sierra Nevada resort for five days have been freed. The U.S. Forest Service says snow trapped the guests and staff at the lodge starting Sunday following a storm. They couldn't get out until Thursday night, Feb. 7, 2019.",Professional - ap,,,,1
51,"(Michael DeMocker/The Times-Picayune via AP) Who Dats fill North Peters Street during the Blackout and Gold Second Line parade in New Orleans to protest the no call that likely cost the Saints a spot in today's Super Bowl on Sunday, Feb. 3, 2019.",Professional - ap,,,,1
52,(Trent Nelson | The Salt Lake Tribune,Professional - salt lake tribune,,,,44
53,(Ioanna Raptis/Portsmouth Herald seacoastonline.com via AP),Professional - ap,,,,1
54,Photo courtesy of California athletic department.,Professional - california,,,,1
55,Courtesy,Citizen - family,,,,1
56,"(AP Photo/Pablo Martinez Monsivais) In this Feb. 1, 2019 file photo, former campaign adviser for President Donald Trump, Roger Stone, leaves federal court in Washington.",Professional - file,,,,1
57,(AP Photo/Jose Luis Magana),Professional - ap,,,,1
58,Jennifer Rubin,                              ,,,,5
59,Ali Noorani,                              ,,,,1
60,Leah Hogsten,Professional - ap,,,,8
61,Photo,Professional - staff,,,,1
62,(AP Photo/Keith Srakocic),Professional - ap,,,,1
63,"(AP Photo/Eric Risberg, File)",Professional - file,,,,1
64,"(Courtesy of Deseret Book) Utah Jazz owner Gail Miller is the author of ""Courage to be You: Inspiring Lessons from an Unexpected Journey.""",Professional - book,,,,1
65,(Pat Bagley | The Salt Lake Tribune,Professional - salt lake tribune,,,,19
66,"(AP Photo/Ted Shaffrey) Ronan Farrow, a contributing writer for the New Yorker, speaks with reporters at Associated Press headquarters in New York, Friday, July 27, 2018. Farrow, who wrote a Pulitzer Prize-winning story for the New Yorker on the sexual misconduct allegations against media mogul Harvey Weinstein, has written a similar story for the magazine on CBS Chief Executive Officer, Les Moonves.",Professional - cbs,,,,1
67,"(Alabama Department of Corrections via AP, File) This undated file photo from the Alabama Department of Corrections shows inmate Dominique Ray. A federal appeals court has stayed the execution of Ray, a Muslim inmate in Alabama who says the state is violating his religious rights by not allowing an imam at his lethal injection. The 11th U.S Circuit Court of Appeals granted the stay Wednesday, Feb. 6, 2019, a day before the scheduled lethal injection of Ray.",Professional - file,,,,1
68,"(AP Photo/Steve Helber) Virginia Lt. Gov Justin Fairfax looks over a briefing book prior to the start of the senate session at the Capitol in Richmond, Va., Thursday, Feb. 7, 2019. A California woman has accused Fairfax of sexually assaulting her 15 years ago.",Professional - ap,,,,1
69,"(AP Photo/Matt Rourke, File)",Professional - file,,,,1
70,(Photo Courtesy Holly Richardson),                              ,,,,3
71,(Ben Dorger,                              ,,,,1
72,(Andrew Harnik,Professional - ap,,,,5
73,(National Enquirer via AP),Professional - ap,,,,1
74,"(Photo courtesy of Lee Battin) Utah basketball player Riley Battin lived in this converted Tuff Shed in the backyard during high school, so that his grandmother could have a bedroom in the family's home in Westlake Village, Calif.",Professional - basketball,,,,1
75,"(second from left), is shown as an Oak Park High School player, waiting to be announced as a starter before a game. The framed photo at the end of the bench is of Luc Bodden, an Oak Park fan who died at age 10. Battin asked that the photo of Luc become part of Oak Park's pregame introductions.",Professional - school,,,,1
76,"(Photo courtesy of The Church of Jesus Christ of Latter-day Saints) The Argentina Missionary Training Center, located in Buenos Aires, will close in July 2019.",Professional - church,,,,1
77,"(AP file photo) In this Thursday, June 18, 1981 file photo, British actor Albert Finney puffs a big cigar as he sits in the back seat of a vintage cap on the set of ""Annie"" in New York. Finney, the Academy Award-nominated star of films from ""Tom Jones"" to ""Skyfall"" has died at the age of 82, it was reported on Friday, Feb. 8, 2019.",Professional - file,,,,1
78,(Courtesy photo) Vince Otoupal has resigned as athletic director at Utah Valley University,Professional - utah,,,,1
79,(Cliff Owen,Professional - ap,,,,2
80,(Photo by Willy Sanjuan| Invision,Professional - invision,,,,1
81,(Courtesy PBS) PBS remains hugely popular among American TV viewers.,Professional - pbs,,,,1
82,(Illustration by Christopher Cherrington,                              ,,,,1
83,(Brian Maffly,                              ,,,,4
84,"(Courtesy of the University of Utah) Lauren McCluskey is seen on August 30, 2017 in Salt Lake City.",Professional - city,,,,1
85,"(AP Photo/Jon Elswick, File)",Professional - file,,,,1
86,(AP Photo/ Evan Vucci),Professional - ap,,,,3
87,Deanna Paul,                              ,,,,1
88,Rick Egan,Professional - salt lake tribune,,,,5
89,"(Anna Stonehouse/The Aspen Times via AP, File)",Professional - file,,,,1
90,(Craig Ruttle,Professional - press,,,,1
91,Susan R. Madsen,                              ,,,,1
92,Dana Milbank,                              ,,,,4
93,(Courtesy Photo) Howard Nielson.,                              ,,,,1
94,Alexandra Petri,                              ,,,,1
95,(John Locher,Professional - ap,,,,4
96,"(AP Photo/Cliff Owen, File) In this Sept. 13, 2018, file photo Jeff Bezos, Amazon founder and CEO, speaks at The Economic Club of Washington's Milestone Celebration in Washington. Bezos says the National Enquirer is threatening to publish nude photographs of him unless his private investigators back off the tabloid that detailed the billionaire’s extramarital affair",Professional - file,,,,1
97,(AP Photo/Mark Lennihan),Professional - ap,,,,1
98,"(Rick Egan/The Salt Lake Tribune, via AP, Pool)",Professional - ap,,,,1
99,(AP Photo/Mark J. Terrill),Professional - ap,,,,2
100,(Steven Senne,Professional - ap,,,,1
101,(Evan Vucci,Professional - ap,,,,5
102,"(Photo courtesy Salt Lake County Jail) Abe Martinez, 44, was killed by police after he killed his grandmother and wounded his step-grandfather.",Professional - jail,,,,1
103,"(Photo courtesy West Valley City Police) Ricardo Lopez was shot by a West Valley City police officer on July 15, 2018. It was the second time in 2-1/2 years he had been shot by police.",Professional - city,,,,1
104,( Chris Detrick,                              ,,,,1
105,"(The Salt Lake Tribune file photo) Log Haven restaurant, located in Millcreek Canyon, invites Valentine's Day diners to enjoy live music and order off an extensive menu by Chef Dave Jones, including several gluten-free and vegetarian choices, and a large selection of wine.",Professional - file,,,,1
106,(AP Photo/File),Professional - file,,,,1
107,(Kathy Willens,Professional - AP,,,,1
108,"(AP Photo/Jim Mone) Memphis Grizzlies' Marc Gasol, right, looks for help as Minnesota Timberwolves' Josh Okogie defends during the first half of an NBA basketball game Wednesday, Jan. 30, 2019, in Minneapolis.",Professional - ap,,,,1
109,"(AP Photo/Darron Cummings, File) This is an April 25, 2018, file photo, showing NCAA headquarters in Indianapolis. The NCAA is facing more than 300 lawsuits from former college football players who claim their concussions were mistreated, leading to medical issues spanning from headaches to depression and in some cases early onset Parkinson’s and Alzheimer's disease.",Professional - file,,,,1
110,(Jerry Lara/The San Antonio Express-News via AP),Professional - ap,,,,1
111,(AP Photo/Gregory Bull),Professional - ap,,,,1
112,(AP Photo/Evan Vucci),Professional - ap,,,,1
113,(Jeremy Harmon,Professional - salt lake tribune,,,,4
114,(Rick Hossman,                              ,,,,1
115,(Carlos Osorio,Professional - press,,,,1
116,(Photo courtesy of The Church of Jesus Christ of Latter-day Saints) Jane Manning James,Professional - church,,,,1
117,"(Photo courtesy of The Church of Jesus Christ of Latter-day Saints) Apostle Jeffrey R. Holland displays his iPad screen saver, a photograph of his wife, Patricia Terry Holland, during a Jan. 17, 2019, devotional in the Philippines. “That’s my screen saver,” he said, “but more than that, that’s my lifesaver.”",Professional - church,,,,1
118,"(Isaac Hale/The Daily Herald via AP) In this Oct. 18, 2017, photo, Andy Winder, a senior at Brigham Young University, who is also transgender, poses for a portrait in Provo.",Professional - ap,,,,1
119,"(Photo courtesy of The Church of Jesus Christ of Latter-day Saints) Elder Ulisses Soares of the Quorum of the Twelve Apostles visits with a Brigham Young University student in Provo on Tuesday, Feb. 5, 2019. He spoke at a devotional in the Marriott Center.",Professional - church,,,,1
120,"(Photo courtesy FOX 13) Sean Moss, 34, is facing charges in what may be the first medical cannabis prosecution in the state. Moss has epilepsy and says he is a qualifying medical cannabis patient — a defense he plans to use on Monday in Salt Lake City Justice Court.",Professional - city,,,,2
121,(Jeff Chiu,Professional - press,,,,4
122,(San Francisco Police Department via AP),Professional - ap,,,,1
123,(Leah Hogsten/The Salt Lake Tribune via AP),Professional - ap,,,,1
124,(Richard Cartwright,Professional - AP,,,,1
125,(AP Photo/Brandon Dill),Professional - ap,,,,3
126,(Jeremy Harmon | The Salt Lake Tribune,Professional - salt lake tribune,,,,2
127,(AP Photo/Pablo Martinez Monsivais),Professional - ap,,,,1
128,(AP Photo/Susan Walsh),Professional - ap,,,,1
129,"(AP Photo/ Evan Vucci) President Donald Trump announces his nomination of David Malpass, under secretary of the Treasury for international affairs, to head the World Bank, during an event in the Rosevelt Room of the White House, Wednesday, Feb. 6, 2019, in Washington.",Professional - ap,,,,1
130,"(Photo by Frank Micelotta/Invision/AP, File) In this June 30, 2013 file photo, R. Kelly performs at the BET Awards at the Nokia Theatre in Los Angeles. R. Kelly is announcing a new tour, but it won't be in the United States. The embattled entertainer announced on social media Tuesday, Feb. 5, 2019, that he'll be going to Australia, New Zealand and Sri Lanka.",Professional - file,,,,1
131,(AP Photo/Andrew Harnik),Professional - ap,,,,6
132,(Steve Helber,Professional - ap,,,,2
133,(Eli Lucero/Herald Journal via AP),Professional - ap,,,,1
134,"(Richard Tsong-Taatarii/Star Tribune via AP, Pool) Jake Patterson appears for a brief hearing in Barron County Circuit Court on Wednesday, Feb. 6, 2019, in Barron, Wis. Patterson, 21, is accused of killing James and Denise Closs on Oct. 15 and kidnapping their daughter , Jayme Closs, from their Barron home. Jayme escaped on Jan. 10, after 88 days.",Professional - ap,,,,1
135,"(Photo courtesy of EnergySolutions) In this 2015 photo, EnergySolutions is temporarily storing barrels of depleted uranium in a controlled warehouse at their Clive facility in Utah's west desert. The Utah Department of Environmental Quality is finalizing its regulation for how this waste will be processed. It will eventually be buried in a cell at the Clive facility.",Professional - utah,,,,1
136,(David Goldman,Professional - ap,,,,1
137,Scott Sommerdorf,Professional - file,,,,3
138,Connor Boyack,                              ,,,,1
139,"(The White House) Joshua Trump, a sixth-grader who says he's been bullied because of his name, was a guest at the State of the Union address Tuesday.",Professional - state,,,,1
140,(Pool video image,Professional - ap,,,,1
141,(Reed Saxon,Professional - file,,,,1
142,"(Doug Mills/The New York Times via AP, Pool) President Donald Trump gives his State of the Union address to a joint session of Congress, Tuesday, Feb. 5, 2019 at the Capitol in Washington, as Vice President Mike Pence, left, and House Speaker Nancy Pelosi look on.",Professional - ap,,,,1
143,"(Photo courtesy Jeff Merchant) Jeff Merchant, a Salt Lake County native and local businessman, has announced he'll run for the at-large County Council seat vacated by newly-inaugurated Salt Lake County Mayor Jenny Wilson.",Professional - business,,,,1
144,"(AP Photo/Steve Helber, File)",Professional - file,,,,1
145,Rich Lowry,                              ,,,,2
146,(AP Photo/Matthias Schrader),Professional - ap,,,,1
147,(AP Photo/Fernando Llano),Professional - ap,,,,1
148,(Andrew Medichini,Professional - AP,,,,1
