Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,dandc,https://www.democratandchronicle.com/story/news/2019/02/10/shamrocks-irish-pub-henrietta-park-point-brawl-fight-rit-stabbing-firefighters-hospital/2830703002/,"
            Published 6:13 p.m. ET Feb. 10, 2019 | Updated 4:01 p.m. ET Feb. 11, 2019",1,Schramrocks Irish Pub at Park Point at RIT in Henrietta. (Photo: Provided by Andrew Gustavson),(Photo: Provided by Andrew Gustavson)
2,dandc,https://www.democratandchronicle.com/story/news/2019/02/10/nicholas-kalpin-killed-snowmobile-crash-adirondacks-lewis-county-hamlin-man/2831352002/,"
            Published 4:33 p.m. ET Feb. 10, 2019 | Updated 12:19 p.m. ET Feb. 17, 2019",1,A snowmobile sits on a snow-covered trail. (Photo: Thinkstock),(Photo: Thinkstock)
3,dandc,https://www.democratandchronicle.com/story/sports/high-school/2019/02/10/section-v-hockey-playoffs-mcquaid-webster-thomas-nab-top-seeds-rochester-ny/2815852002/,"
            Published 4:24 p.m. ET Feb. 10, 2019 | Updated 5:11 p.m. ET Feb. 11, 2019",12,"McQuaid's Zack Allen, second from left, celebrates his goal with teammates during the first period of a regular-season game played at the Rochester Ice Center, Wednesday, Feb. 6, 2019. McQuaid beat Fairport 5-4 in overtime. (Photo: ADRIAN KRAUS)",(Photo: ADRIAN KRAUS)
3,dandc,,,12,"Fairport's Caleb Kaiser, left, shields the puck from McQuaid's Zack Allen during the third period of a regular season game played at the Rochester Ice Center, Wednesday, Feb. 6, 2019.  Kaiser scored the winning goal in Fairport's win over Penfield on Saturday. (Photo: ADRIAN KRAUS)",(Photo: ADRIAN KRAUS)
3,dandc,,,12,"Webster Thomas' Tommy Ammon (19) puts the puck past Churchville-Chili goalie Ethan Breton for the Titans' third goal during a regular season game played at the Scottsville Ice Arena, Tuesday, Jan. 22, 2019. Webster Thomas beat Chuchville-Chili 4-1. (Photo: ADRIAN KRAUS)",(Photo: ADRIAN KRAUS)
3,dandc,,,12,"Fairport's Nick Krug, and Penfield's  Jack Schlifke hug after the Red Raiders and Patriots played to a 2-2 tie in December. Schlifke and Krug are both players to keep an eye on during the Section V Class A Tournament. (Photo: Max Schulte / Rochester Democrat and Chronicle)",(Photo: Max Schulte / Rochester Democrat and Chronicle)
3,dandc,,,12,"Spencerport's AJ Giannavola, left, puts the game-winner past Gates Chili goalie Charles Healey during a regular season game played at Genesee Valley Ice Arena, Tuesday, Dec. 11, 2018. (Photo: ADRIAN KRAUS)",(Photo: ADRIAN KRAUS)
3,dandc,,,12,"Webster Thomas' Spencer Nuccitelli, center, celebrates his first goal with Cullen Hennessy, left, and Zack Wolfe during a regular season game against Chuchville-Chili played at the Scottsville Ice Arena, Tuesday, Jan. 22, 2019. Webster Thomas beat Chuchville-Chili 4-1.",ADRIAN KRAUS
3,dandc,,,12,"Webster Thomas goalie Cody Rougeux, right, pokes the puck away as Matthew Stuewe shields  Churchville-Chili's Dylan Clark off the play during a regular season game played at the Scottsville Ice Arena, Tuesday, Jan. 22, 2019. Webster Thomas beat Chuchville-Chili 4-1.",ADRIAN KRAUS
3,dandc,,,12,"Churchville-Chili's Max Williams, right, is tripped up by Webster Thomas' Teagan Spang during a regular season game played at the Scottsville Ice Arena, Tuesday, Jan. 22, 2019. Webster Thomas beat Chuchville-Chili 4-1.",ADRIAN KRAUS
3,dandc,,,12,"Webster Thomas' Tommy Ammon, right, checks Churchville-Chili's Colin Hess during a regular season game played at the Scottsville Ice Arena, Tuesday, Jan. 22, 2019. Webster Thomas beat Chuchville-Chili 4-1.",ADRIAN KRAUS
3,dandc,,,12,"Webster Thomas' Tommy Ammon (19) puts the puck past Churchville-Chili goalie Ethan Breton for the Titans' third goal during a regular season game played at the Scottsville Ice Arena, Tuesday, Jan. 22, 2019. Webster Thomas beat Chuchville-Chili 4-1.",ADRIAN KRAUS
5,dandc,https://www.democratandchronicle.com/story/news/2019/02/10/cheryl-dinolfo-launches-job-training-program-it-monroe/2830154002/,"
            Published 3:30 p.m. ET Feb. 10, 2019 | Updated 9:37 p.m. ET Feb. 10, 2019",1,Monroe County Executive Cheryl Dinolfo releases the county budget and has a big announcement at the Monroe County Office Building. (Photo: CARLOS ORTIZ/ROCHESTER DEMOCRAT AND CHRONICLE),(Photo: CARLOS ORTIZ/ROCHESTER DEMOCRAT AND CHRONICLE)
8,dandc,https://www.democratandchronicle.com/story/news/2019/02/10/therapy-dog-spencerport-palmyra-macedon-gates-chili/2699133002/,"
            Published 2:15 p.m. ET Feb. 10, 2019 | Updated 10:40 p.m. ET Feb. 11, 2019",10,"Breanna Tamburello, a 17-year-old senior, visits with Ruby, a 4-year-old black Labrador retriever who is the new therapy dog at Spencerport High School. (Photo: SHAWN DOWD/ROCHESTER DEMOCRAT AND CHRONICLE)",(Photo: SHAWN DOWD/ROCHESTER DEMOCRAT AND CHRONICLE)
8,dandc,,,10,"Dominic Mayo, a kindergartner at Neil Armstrong School in Gates, lies on the floor to hug Kelsey, the school's therapy dog, before school starts on the morning of Feb. 4, 2019. (Photo: Georgie Silvarole/Rochester Democrat and Chronicle)",(Photo: Georgie Silvarole/Rochester Democrat and Chronicle)
8,dandc,,,10,"Students stop to pet and visit with Ruby, a 4-year-old black Labrador retriever who is the new therapy dog at Spencerport High School., in the busy hallways between periods Tuesday, Jan. 29, 2019. (Photo: SHAWN DOWD/ROCHESTER DEMOCRAT AND CHRONICLE)",(Photo: SHAWN DOWD/ROCHESTER DEMOCRAT AND CHRONICLE)
8,dandc,,,10,"Dominic Payne, a ninth-grader at Monroe 2 BOCES at Spencerport High, visits with Ruby, a 4-year-old black Labrador retriever who is the new therapy dog at Spencerport High School, as she walks the hallways Tuesday, Jan. 29, 2019. (Photo: SHAWN DOWD/ROCHESTER DEMOCRAT AND CHRONICLE)",(Photo: SHAWN DOWD/ROCHESTER DEMOCRAT AND CHRONICLE)
8,dandc,,,10,"Dominic Payne, a ninth-grader at Monroe 2 BOCES at Spencerport High, visits with Ruby, a 4-year-old black Labrador retriever who is the new therapy dog at Spencerport High School, as she walks the hallways Tuesday, Jan. 29, 2019.",SHAWN DOWD/ROCHESTER DEMOCRAT AND CHRONICLE
8,dandc,,,10,"Sophia Cruz, a first-grader at Neil Armstrong School in Gates, greets Kelsey on her way into school on Monday, Feb. 4, 2019. Kelsey, a Newfoundland, serves as the school's certified therapy dog and works with school social worker Chris Magee.",Georgie Silvarole/Rochester Democrat and Chronicle
8,dandc,,,10,"Breanna Tamburello, 17, a senior, visits with Ruby, a 4-year-old black Lab who is the new therapy dog at Spencerport High School, on Tuesday, Jan. 29, 2019.",SHAWN DOWD/ROCHESTER DEMOCRAT AND CHRONICLE
8,dandc,,,10,"Katie, one of three certified therapy dogs owned by Jill Davis, a vocal music teacher at Palmyra-Macedon High School, comforts a student at school.",Provided
8,dandc,,,10,"Katie, one of three certified therapy dogs owned by Jill Davis, a vocal music teacher at Palmyra-Macedon High School, comforts a student at school.",Provided
8,dandc,,,10,"Dominic Mayo, a kindergartner at Neil Armstrong School in Gates, lies on the floor to hug Kelsey, the school's therapy dog, before school starts on the morning of Feb. 4, 2019.",Georgie Silvarole/Rochester Democrat and Chronicle
11,dandc,https://www.democratandchronicle.com/story/news/2019/02/10/greenlight-expands-webster-irondequoit-coverage-doubles-staff/2801077002/,"
            Published 12:38 p.m. ET Feb. 10, 2019 | Updated 5:56 p.m. ET Feb. 10, 2019",2,Updated maps show where Greenlight Networks is available and/or under construction as of February 2019. (Photo: Provided),(Photo: Provided)
11,dandc,,,2,Updated maps show where Greenlight Networks is available and/or under construction as of February 2019. (Photo: Provided),(Photo: Provided)
12,dandc,https://www.democratandchronicle.com/story/news/2019/02/10/polar-plunge-rochester-2019-special-olympics-fundraiser/2830182002/,"
            Published 12:17 p.m. ET Feb. 10, 2019 | Updated 4:44 p.m. ET Feb. 10, 2019",10,"Joel McFarland, of Penfield, goes airborne as he jumps into Lake Ontario. McFarland was part of 2,000 people who took part int the annual Polar Plunge which raised more than $250,000 for Special Olympics of New York.",JAMIE GERMANO/ROCHESTER DEMOCRAT AND CHRONICLE
12,dandc,,,10,"More than 2,000 people took part in the annual Polar Plunge at Charlotte Beach.  This year's plunge raised more that $250,000 for Special Olympics of New York.",JAMIE GERMANO/ROCHESTER DEMOCRAT AND CHRONICLE
12,dandc,,,10,Plungers exit the frigid waters of Lake Ontario after taking part in the Polar Plunge.,JAMIE GERMANO/ROCHESTER DEMOCRAT AND CHRONICLE
12,dandc,,,10,Rochester Police Deputy Chief LaRon Singletary carries the torch at the start of the annual Polar Plunge at Charlotte Beach.,JAMIE GERMANO/ROCHESTER DEMOCRAT AND CHRONICLE
12,dandc,,,10,Marcia Catallo (left) and Provie Morris make their way out of the frigid waters of Lake Ontario as part of the annual Polar Plunge.,JAMIE GERMANO/ROCHESTER DEMOCRAT AND CHRONICLE
12,dandc,,,10,"Some of the 2,000 people who took the plunge into Lake Ontario as part of the annual Polar Plunge.  The event raised more than $250,000 for Special Olympics of New York.",JAMIE GERMANO/ROCHESTER DEMOCRAT AND CHRONICLE
12,dandc,,,10,"Some of the 2,000 people who took the plunge into Lake Ontario as part of the annual Polar Plunge.  The event raised more than $250,000 for Special Olympics of New York.",JAMIE GERMANO/ROCHESTER DEMOCRAT AND CHRONICLE
12,dandc,,,10,"Some of the 2,000 people who took the plunge into Lake Ontario as part of the annual Polar Plunge.  The event raised more than $250,000 for Special Olympics of New York.",JAMIE GERMANO/ROCHESTER DEMOCRAT AND CHRONICLE
12,dandc,,,10,"Some of the 2,000 people who took the plunge into Lake Ontario as part of the annual Polar Plunge.  The event raised more than $250,000 for Special Olympics of New York.",JAMIE GERMANO/ROCHESTER DEMOCRAT AND CHRONICLE
12,dandc,,,10,"Some of the 2,000 people who took the plunge into Lake Ontario as part of the annual Polar Plunge.  The event raised more than $250,000 for Special Olympics of New York.",JAMIE GERMANO/ROCHESTER DEMOCRAT AND CHRONICLE
13,dandc,https://www.democratandchronicle.com/story/news/2019/02/10/valerie-reyes-feared-death-body-found-suitcase/2830111002/,"
            Published 11:36 a.m. ET Feb. 10, 2019
        ",10,"Valerie Reyes' mother, Norma Sanchez of New Rochelle, hugs a visitor at her New Rochelle home Feb. 7, 2019. Reyes dead body was found in Greenwich, Conn. Feb, 5. (Photo: Peter Carr/The Journal News)",(Photo: Peter Carr/The Journal News)
13,dandc,,,10,"Vigil for Valerie Reyes at Glen Island Park in New Rochelle Feb. 7, 2019. Reyes body was found in Greenwich, Conn. Feb, 5. (Photo: Peter Carr/The Journal News)",(Photo: Peter Carr/The Journal News)
13,dandc,,,10,"Mourners arrive at Lloyd Macy & Sons Beauchamp Chapel in New Rochelle Feb.. 12, 2019 to attend a wake for New Rochelle resident Valerie Reyes, whose body was found in a suitcase in Greenwich, Ct. last week.",Seth Harrison/The Journal News
13,dandc,,,10,"Mourners arrive at Lloyd Macy & Sons Beauchamp Chapel in New Rochelle Feb.. 12, 2019 to attend a wake for New Rochelle resident Valerie Reyes, whose body was found in a suitcase in Greenwich, Ct. last week.",Seth Harrison/The Journal News
13,dandc,,,10,"Mourners arrive at Lloyd Macy & Sons Beauchamp Chapel in New Rochelle Feb.. 12, 2019 to attend a wake for New Rochelle resident Valerie Reyes, whose body was found in a suitcase in Greenwich, Ct. last week.",Seth Harrison/The Journal News
13,dandc,,,10,"Mourners arrive at Lloyd Macy & Sons Beauchamp Chapel in New Rochelle Feb.. 12, 2019 to attend a wake for New Rochelle resident Valerie Reyes, whose body was found in a suitcase in Greenwich, Ct. last week.",Seth Harrison/The Journal News
13,dandc,,,10,"Norma Sanchez of New Rochelle, center left, at a vigil for her daughter, Valerie Reyes at Glen Island Park in New Rochelle Feb. 7, 2019. Reyes body was found in Greenwich, Conn. Feb, 5.",Peter Carr/The Journal News
13,dandc,,,10,"Candlelight vigil for Valerie Reyes at Glen Island Park in New Rochelle Feb. 7, 2019. Reyes body was found in Greenwich, Conn. Feb, 5.",Peter Carr/The Journal News
13,dandc,,,10,"Candlelight vigil for Valerie Reyes at Glen Island Park in New Rochelle Feb. 7, 2019. Reyes body was found in Greenwich, Conn. Feb, 5.",Peter Carr/The Journal News
13,dandc,,,10,"Candlelight vigil for Valerie Reyes at Glen Island Park in New Rochelle Feb. 7, 2019. Reyes body was found in Greenwich, Conn. Feb, 5.",Peter Carr/The Journal News
14,dandc,https://www.democratandchronicle.com/story/lifestyle/rocflavors/2019/02/10/rochester-wine-festival-offers-apology-refunds-2019-event/2829928002/,"
            Published 10:32 a.m. ET Feb. 10, 2019 | Updated 5:55 p.m. ET Feb. 10, 2019",1,Some patrons are complaining of long lines and little wine at Friday's Rochester Wine Festival. (Photo: Provided photo),(Photo: Provided photo)
15,dandc,https://www.usatoday.com/story/news/nation/2019/02/09/jeff-bezos-blackmail-ami-national-enquirer-parent-go-under/2811938002/,"
            Published 6:00 a.m. ET Feb. 9, 2019 | Updated 12:21 p.m. ET Feb. 9, 2019",10,"A copy of the National Enquirer is seen at a newspaper vendor's shop on Third Avenue in midtown New York City Friday alongside other titles by AMI, the tabloid publisher at the heart of growing scandals involving President Donald Trump and Amazon founder Jeff Bezos. (Photo: TIMOTHY A. CLARY, AFP/Getty Images)","(Photo: TIMOTHY A. CLARY, AFP/Getty Images)"
