Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,pioneerpress,https://www.twincities.com/2019/02/10/17-car-crash-shuts-down-i-694-no-life-threatening-injuries-reported/?utm_campaign=socialflow&utm_medium=social&utm_source=twitter.com&utm_content=tw-PioneerPress,"PUBLISHED: February 10, 2019 at 3:19 pm | UPDATED: February 10, 2019 at 5:39 pm",0,NA,NA
2,pioneerpress,https://www.twincities.com/2019/02/10/real-world-economics-on-social-programs-capitalism-and-context/?utm_campaign=socialflow&utm_medium=social&utm_source=twitter.com&utm_content=tw-PioneerPress,"February 10, 2019 at 5:37 am",1,Edward Lotterman,NA
3,pioneerpress,https://www.twincities.com/2019/02/08/wild-hope-move-to-center-sparks-something-in-mikael-granlund/?utm_content=tw-PioneerPress&utm_medium=social&utm_source=twitter.com&utm_campaign=socialflow,"PUBLISHED: February 8, 2019 at 1:10 pm | UPDATED: February 8, 2019 at 6:26 pm",1,"Minnesota Wild’s Jason Zucker (16) high-fives teammate Mikael Granlund (64), of Finland, after Zucker scored against Chicago Blackhawks during the first period of an NHL hockey game Saturday, Feb. 2, 2019, in St. Paul, Minn. (AP Photo/Stacy Bengs)",(AP Photo/Stacy Bengs)
4,pioneerpress,https://www.twincities.com/2019/02/09/blundering-gardener-bacteria-are-what-make-a-garden-grow/?utm_source=twitter.com&utm_content=tw-PioneerPress&utm_campaign=socialflow&utm_medium=social,"February 9, 2019 at 2:07 pm",0,NA,NA
5,pioneerpress,https://www.twincities.com/2019/02/10/event-celebrates-poet-robert-bly-and-his-collected-poems/?utm_campaign=socialflow&utm_medium=social&utm_source=twitter.com&utm_content=tw-PioneerPress,"February 10, 2019 at 10:12 am",1,Robert Bly (Associated Press: Jim Mone),(Associated Press: Jim Mone)
6,pioneerpress,https://www.twincities.com/2019/02/10/amy-klobuchar-2020-shes-running-for-president/,"PUBLISHED: February 10, 2019 at 2:17 pm | UPDATED: February 11, 2019 at 10:27 am",9,Minnesota Democratic Sen. Amy Klobuchar announces her presidential bid in front of a crowd at Boom Island Park in Minneapolis on Sunday. (STEPHEN MATUREN / GETTY IMAGES),(STEPHEN MATUREN / GETTY IMAGES)
6,pioneerpress,,,9,"Crowds turned out to support US Senator Amy Klobuchar as she kicks off her campaign for President of the United States, Sunday, Feb. 10, 2019 in Boom Island Park, Minneapolis. (Scott Takushi / Pioneer Press)",(Scott Takushi / Pioneer Press)
6,pioneerpress,,,9,"From left: US Senator Amy Klobuchar, her daughter Abigail Bessler and husband John Bessler kick off her campaign for President of the United States, Sunday, Feb. 10, 2019 in Boom Island Park, Minneapolis. (Scott Takushi / Pioneer Press)",(Scott Takushi / Pioneer Press)
6,pioneerpress,,,9,"From left: US Senator Amy Klobuchar, husband John Bessler and daughter Abigail Bessler kick off her campaign for President of the United States, Sunday, Feb. 10, 2019 in Boom Island Park, Minneapolis. (Scott Takushi / Pioneer Press)",(Scott Takushi / Pioneer Press)
6,pioneerpress,,,9,"Snow falls as rally goers arrive at Boom Island Park for Democratic Sen. Amy Klobuchar's announcement of her decision in the race for president at a rally Sunday, Feb. 10, 2019, at Boom Island Park in Minneapolis. (AP Photo/Jim Mone)",(AP Photo/Jim Mone)
6,pioneerpress,,,9,"Crowds gather to cheer for US Senator Amy Klobuchar, who kicked off her campaign for President of the United States, Sunday, Feb. 10, 2019 in Boom Island Park, Minneapolis. (Scott Takushi / Pioneer Press)",(Scott Takushi / Pioneer Press)
6,pioneerpress,,,9,"Ed Chalbonneau of St. Louis Park holds up a sign as US Senator Amy Klobuchar kicks off her campaign for President of the United States, Sunday, Feb. 10, 2019 in Boom Island Park, Minneapolis. (Scott Takushi / Pioneer Press)",(Scott Takushi / Pioneer Press)
6,pioneerpress,,,9,"Even Santa Vern Wagner, residence North Pole, was there to cheer as crowds gather to cheer for US Senator Amy Klobuchar, who kicked off her campaign for President of the United States, Sunday, Feb. 10, 2019 in Boom Island Park, Minneapolis. (Scott Takushi / Pioneer Press)",(Scott Takushi / Pioneer Press)
6,pioneerpress,,,9,"Renee Anderson of Bloomington came out to cheer for US Senator Amy Klobuchar, who kicked off her campaign for President of the United States, Sunday, Feb. 10, 2019 in Boom Island Park, Minneapolis. ""I grew up with her, she's been a great role model"" said Anderson. (Scott Takushi / Pioneer Press)",(Scott Takushi / Pioneer Press)
